,Date,Day,Day_Timeframe,Timestamp,Timeframe,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
354,2019.11.28,,,07.34.13,,58,5G,-81,-8,15.0,12,-71,277,9,D
355,2019.11.28,,,07.34.13,,58,5G,-81,-8,15.0,12,-71,44,23,D
356,2019.11.28,,,07.34.14,,58,5G,-84,-9,6.0,12,-71,2654,35,D
358,2019.11.28,,,07.34.17,,58,5G,-79,-9,12.0,14,-61,281,8,D
359,2019.11.28,,,07.34.18,,58,5G,-79,-9,12.0,15,-69,277,9,D
360,2019.11.28,,,07.34.19,,58,5G,-89,-9,9.0,10,-74,1970,33,D
361,2019.11.28,,,07.34.20,,59,5G,-89,-9,9.0,10,-74,1970,33,D
362,2019.11.28,,,07.34.20,,59,5G,-89,-9,9.0,10,-74,276,9,D
364,2019.11.28,,,07.34.22,,59,5G,-89,-9,2.0,9,-74,1623,30,D
365,2019.11.28,,,07.34.23,,59,5G,-93,-10,13.0,9,-74,279,9,D
367,2019.11.28,,,07.34.26,,59,5G,-77,-9,26.0,12,-67,1338,22,D
370,2019.11.28,,,07.34.28,,56,5G,-76,-8,16.0,13,-57,274,9,D
372,2019.11.28,,,07.34.30,,56,5G,-76,-7,19.0,15,-62,947,14,D
373,2019.11.28,,,07.34.31,,56,5G,-76,-7,19.0,15,-62,280,8,D
374,2019.11.28,,,07.34.32,,56,5G,-72,-7,24.0,15,-62,361,11,D
375,2019.11.28,,,07.34.34,,56,5G,-72,-7,24.0,15,-58,278,10,D
378,2019.11.28,,,07.34.36,,47,5G,-77,-9,18.0,15,-60,886,19,D
380,2019.11.28,,,07.34.38,,47,5G,-79,-9,10.0,12,-62,1751,23,D
381,2019.11.28,,,07.34.39,,47,5G,-81,-8,14.0,15,-53,281,9,D
383,2019.11.28,,,07.34.41,,47,5G,-89,-8,14.0,15,-66,280,10,D
384,2019.11.28,,,07.34.43,,47,5G,-89,-8,14.0,15,-68,2315,35,D
385,2019.11.28,,,07.34.43,,58,5G,-89,-8,14.0,15,-68,2315,35,D
386,2019.11.28,,,07.34.44,,58,5G,-89,-9,9.0,12,-72,277,10,D
388,2019.11.28,,,07.34.46,,58,5G,-95,-9,13.0,12,-72,279,8,D
389,2019.11.28,,,07.34.47,,58,5G,-95,-9,13.0,15,-69,2416,37,D
390,2019.11.28,,,07.34.48,,58,5G,-91,-9,9.0,15,-69,284,10,D
393,2019.11.28,,,07.34.51,,47,5G,-89,-11,8.0,15,-73,2336,35,D
394,2019.11.28,,,07.34.52,,47,5G,-89,-11,8.0,15,-73,278,8,D
396,2019.11.28,,,07.34.54,,47,5G,-78,-9,12.0,15,-62,1483,27,D
398,2019.11.28,,,07.34.56,,47,5G,-86,-11,7.0,15,-61,139,2,D
399,2019.11.28,,,07.34.57,,47,5G,-80,-9,11.0,12,-74,1788,889,D
402,2019.11.28,,,07.35.00,,48,5G,-102,-9,5.0,12,-81,276,9,D
403,2019.11.28,,,07.35.01,,48,5G,-102,-9,5.0,12,-79,967,19,D
404,2019.11.28,,,07.35.02,,48,5G,-93,-8,19.0,12,-67,280,8,D
406,2019.11.28,,,07.35.04,,48,5G,-92,-9,12.0,12,-77,1290,26,D
408,2019.11.28,,,07.35.06,,48,5G,-99,-8,1.0,13,-72,1888,27,D
409,2019.11.28,,,07.35.07,,52,5G,-99,-8,1.0,13,-72,1888,27,D
410,2019.11.28,,,07.35.08,,52,5G,-99,-8,1.0,12,-74,276,9,D
412,2019.11.28,,,07.35.10,,52,5G,-92,-7,17.0,15,-75,279,9,D
413,2019.11.28,,,07.35.11,,52,5G,-91,-6,14.0,15,-72,735,15,D
415,2019.11.28,,,07.35.13,,52,5G,-94,-6,15.0,15,-73,1493,28,D
418,2019.11.28,,,07.35.16,,48,5G,-92,-6,10.0,13,-73,275,9,D
419,2019.11.28,,,07.35.17,,48,5G,-92,-6,10.0,15,-71,1888,28,D
420,2019.11.28,,,07.35.18,,48,5G,-95,-7,22.0,15,-74,278,8,D
422,2019.11.28,,,07.35.20,,48,5G,-89,-7,3.0,10,-61,973,22,D
423,2019.11.28,,,07.35.21,,48,5G,-89,-7,3.0,11,-64,44,5,D
426,2019.11.28,,,07.35.23,,47,5G,-95,-6,10.0,14,-75,613,3,D
428,2019.11.28,,,07.35.26,,47,5G,-95,-7,10.0,15,-78,281,10,D
429,2019.11.28,,,07.35.27,,47,5G,-97,-6,10.0,12,-,1222,18,D
430,2019.11.28,,,07.35.28,,47,5G,-97,-6,10.0,12,-86,282,10,D
438,2019.11.28,,,07.35.36,,56,LTE,-102,-12,-10.0,10,-86,2193,64,D
439,2019.11.28,,,07.35.37,,56,LTE,-102,-12,-10.0,10,-86,1500,44,D
440,2019.11.28,,,07.35.38,,51,LTE,-102,-12,-10.0,10,-86,1500,44,D
441,2019.11.28,,,07.35.38,,51,LTE,-102,-12,12.0,10,-86,3417,99,D
442,2019.11.28,,,07.35.39,,51,LTE,-102,-12,12.0,6,-89,556,21,D
